Company,Year,Revenue,Net_Income,Total_Assets,Equity
MCD,2019,21076.5,6025.4,47510.8,-8210.3
MCD,2020,19207.8,4730.5,52626.8,-7824.9
MCD,2021,23222.9,7545.2,53854.3,-4601.0
MCD,2022,23182.6,6177.4,50435.6,-6003.4
MCD,2023,25493.7,8468.8,56146.8,-4706.7
MCD,2024,25920.0,8223.0,55182.0,-3797.0
MCD,2025,26885.0,8563.0,59515.0,-1791.0
SBUX,2019,26508.6,3599.2,19219.6,-6232.2
SBUX,2020,23518.0,928.3,29374.5,-7805.1
SBUX,2021,29060.6,4199.3,31392.6,-5321.2
SBUX,2022,32250.3,3281.6,27978.4,-8706.6
SBUX,2023,35975.6,4124.5,29445.5,-7994.8
SBUX,2024,36176.2,3760.9,31339.3,-7448.9
SBUX,2025,37184.4,1856.4,32019.7,-8096.6
SHAK,2019,594.519,19.827,968.268,298.817
SHAK,2020,522.867,-42.158,1145.348,407.321
SHAK,2021,739.893,-8.655,1457.57,409.537
SHAK,2022,900.486,-24.091,1494.862,395.116
SHAK,2023,1087.533,20.264,1605.857,443.417
SHAK,2024,1252.608,10.207,1696.971,470.018
SHAK,2025,1445.306,45.725,1896.209,525.327
YUM,2019,5597.0,1294.0,5231.0,-8016.0
YUM,2020,5652.0,904.0,5852.0,-7891.0
YUM,2021,6584.0,1575.0,5966.0,-8373.0
YUM,2022,6842.0,1325.0,5846.0,-8876.0
YUM,2023,7076.0,1597.0,6231.0,-7858.0
YUM,2024,7567.0,1486.0,6727.0,-7648.0
YUM,2025,8219.0,1559.0,8197.0,-7325.0
